Year,Month,ENSO,NAO
1970,SEP,1.9,-0.09
1971,SEP,2.3,0.39
1972,SEP,-2.2,-0.12
1973,SEP,2.0,-0.3
1974,SEP,1.8,0.82
1975,SEP,3.4,1.56
1976,SEP,-1.9,-1.29
1977,SEP,-1.3,0.37
1978,SEP,0.1,0.46
1979,SEP,0.2,1.01
1980,SEP,-0.8,0.66
1981,SEP,0.5,-1.45
1982,SEP,-2.9,1.76
1983,SEP,1.4,-1.12
1984,SEP,0.2,0.17
1985,SEP,0.0,-0.52
1986,SEP,-0.8,-1.12
1987,SEP,-1.7,-1.22
1988,SEP,3.0,-0.99
1989,SEP,0.8,2.05
1990,SEP,-1.2,1.06
1991,SEP,-2.5,0.48
1992,SEP,0.1,-0.44
1993,SEP,-1.2,-0.57
1994,SEP,-2.6,-1.32
1995,SEP,0.4,0.31
1996,SEP,1.0,-0.86
1997,SEP,-2.4,0.61
1998,SEP,1.7,-2.0
1999,SEP,-0.1,0.36
2000,SEP,1.4,-0.21
2001,SEP,0.3,-0.65
2002,SEP,-1.0,-0.7
2003,SEP,-0.2,0.01
2004,SEP,-0.6,0.38
2005,SEP,0.6,0.63
2006,SEP,-1.0,-1.62
2007,SEP,0.3,0.72
2008,SEP,2.0,1.02
2009,SEP,0.5,1.51
2010,SEP,3.7,-0.79
2011,SEP,1.7,0.54
2012,SEP,0.4,-0.59
2013,SEP,0.5,0.24
2014,SEP,-1.2,1.62
2015,SEP,-2.7,-0.65
2016,SEP,2.0,0.61
2017,SEP,1.0,-0.61
2018,SEP,-1.5,1.67
2019,SEP,-1.9,-0.16
2020,SEP,1.5,0.98
2021,SEP,1.3,-0.21
2022,SEP,2.7,-1.61
2023,SEP,-2.1,-0.44
2024,SEP,-0.2,-1.43
2025,SEP,0.1,-0.8
1951,OCT,-1.6,1.87
1952,OCT,0.6,-0.73
1953,OCT,0.1,1.32
1954,OCT,0.4,0.6
1955,OCT,2.5,-1.47
1956,OCT,2.9,0.88
1957,OCT,0.1,1.32
1958,OCT,0.1,0.16
1959,OCT,0.8,0.89
1960,OCT,0.2,-1.73
1961,OCT,-0.5,0.51
1962,OCT,1.6,0.41
1963,OCT,-2.0,0.94
1964,OCT,2.2,0.74
1965,OCT,-1.5,0.38
1966,OCT,-0.2,-0.68
1967,OCT,0.1,0.07
1968,OCT,-0.1,-2.3
1969,OCT,-1.5,0.66
1970,OCT,1.7,-0.92
1971,OCT,2.8,0.58
1972,OCT,-1.5,1.09
1973,OCT,1.3,-1.24
1974,OCT,1.5,0.49
1975,OCT,2.8,-0.54
1976,OCT,0.7,-0.08
1977,OCT,-1.7,0.52
1978,OCT,-0.6,1.93
1979,OCT,-0.2,-0.3
1980,OCT,0.0,-1.77
1981,OCT,-0.6,-1.35
1982,OCT,-2.8,-0.74
1983,OCT,0.7,0.65
1984,OCT,-0.5,-0.07
1985,OCT,-0.6,0.9
1986,OCT,1.1,1.55
1987,OCT,-0.6,0.14
1988,OCT,2.3,-1.08
1989,OCT,1.3,-0.03
1990,OCT,0.4,0.23
1991,OCT,-1.7,-0.19
1992,OCT,-2.3,-1.76
1993,OCT,-1.8,-0.71
1994,OCT,-1.9,-0.97
1995,OCT,0.0,0.19
1996,OCT,1.0,-0.33
1997,OCT,-2.4,-1.7
1998,OCT,1.8,-0.29
1999,OCT,1.6,0.2
2000,OCT,1.8,0.92
2001,OCT,-0.1,-0.24
2002,OCT,-0.6,-2.28
2003,OCT,0.0,-1.26
2004,OCT,-0.1,-1.1
2005,OCT,2.0,-0.98
2006,OCT,-2.1,-2.24
2007,OCT,1.2,0.45
2008,OCT,2.1,-0.04
2009,OCT,-2.0,-1.03
2010,OCT,2.9,-0.93
2011,OCT,1.2,0.39
