Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,-15.7,-117.2,-14.608417510986328,-107.80731201171875
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,-16.3,-120.7,-14.608417510986328,-107.80731201171875
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,-29.6,-230.5,-16.019290924072266,-119.2647705078125
52.3,104.2833333,427.25,2015.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,-27.6,-215.2,-15.92331314086914,-118.4853515625
52.3,104.2833333,427.25,2015.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,-25.9,-211.2,-16.057682037353516,-119.5765380859375
52.3,104.2833333,427.25,2015.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,-21.7,-175.3,-15.875324249267578,-118.09564208984375
52.3,104.2833333,427.25,2015.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,-15.3,-112.3,-15.836933135986328,-117.78387451171875
52.3,104.2833333,427.25,2015.0,0.741222010848596,0.0,0.0,0.0,1.0,0.0,-10.7,-84.6,-16.048084259033203,-119.49859619140625
52.3,104.2833333,427.25,2015.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,-14.3,-107.2,-15.942508697509766,-118.6412353515625
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,-9.4,-61.8,-15.96170425415039,-118.797119140625
52.3,104.2833333,427.25,2015.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,-12.1,-85.6,-15.721759796142578,-116.84857177734375
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,-16.3,-127.3,-14.627613067626953,-107.96319580078125
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,-20.7,-158.7,-14.61801528930664,-107.88525390625
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,-21.3,-169.8,-15.491413116455078,-114.97796630859375
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,-25.5,-201.8,-16.019290924072266,-119.2647705078125
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,-33.8,-269.6,-15.932910919189453,-118.56329345703125
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,-26.1,-209.1,-16.105670928955078,-119.96624755859375
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,0.0,0.0,1.0,0.0,-26.0,-202.9,-15.932910919189453,-118.56329345703125
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,0.0,0.0,1.0,0.0,-12.5,-102.1,-15.913715362548828,-118.40740966796875
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,0.0,0.0,1.0,0.0,-16.4,-124.2,-16.105670928955078,-119.96624755859375
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,-12.4,-103.6,-15.952106475830078,-118.71917724609375
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,-10.9,-82.7,-15.971302032470703,-118.87506103515625
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,-12.1,-89.8,-15.702564239501953,-116.69268798828125
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,-14.6,-109.1,-14.627613067626953,-107.96319580078125
52.3,104.2833333,427.25,2016.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,-27.5,-202.8,-14.627613067626953,-107.96319580078125
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,-27.8,-210.5,-15.606586456298828,-115.91326904296875
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,-26.4,-201.1,-16.00009536743164,-119.10888671875
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,-35.1,-262.7,-16.019290924072266,-119.2647705078125
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,-17.6,-126.8,-16.009693145751953,-119.18682861328125
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,-20.9,-152.0,-15.971302032470703,-118.87506103515625
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,-30.3,-230.6,-15.952106475830078,-118.71917724609375
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,-25.9,-194.9,-16.163257598876953,-120.43389892578125
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,-11.9,-88.50962751,-9.171276092529297,-63.653228759765625
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,-9.88,-66.74413536,-9.185672760009766,-63.7701416015625
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,-9.69,-71.5587575,-9.190471649169922,-63.809112548828125
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,-6.1,-40.66799847,-9.190471649169922,-63.809112548828125
