Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2011,0.6994583270516471,0,0,1,0,0,8.3853105e-05,4.5,0.7,-12.45,-92.0,-10.065266,-76.00795
47.54260867,7.58371693,304.73438,2011,0.9510565162951535,0,0,1,0,0,0.0,4.2,0.61,-9.17,-69.4,-9.529306,-71.795074
47.54260867,7.58371693,304.73438,2011,0.9760105506323683,0,0,1,0,0,4.2722277e-05,3.1,2.48,-5.43,-37.3,-6.9383836,-48.294556
47.54260867,7.58371693,304.73438,2011,0.741222010848596,0,0,1,0,0,0.0,0.6,-0.06,-5.61,-36.5,-7.6611733,-54.850494
47.54260867,7.58371693,304.73438,2011,0.29671281927349075,0,0,1,0,0,0.0,0.4,-1.28,-5.81,-38.2,-7.528283,-49.585526
47.54260867,7.58371693,304.73438,2011,-0.2135209154397959,0,0,1,0,0,6.4256674e-05,1.6,-1.51,-6.6,-42.1,-6.6844196,-42.709137
47.54260867,7.58371693,304.73438,2011,-0.680773409477016,0,0,1,0,0,1.6929938e-05,0.7,-1.35,-5.64,-39.6,-7.1212068,-44.72162
47.54260867,7.58371693,304.73438,2011,-0.9587178169872964,0,0,1,0,0,0.0,1.7,0.54,-5.39,-34.7,-7.5877824,-54.184814
47.54260867,7.58371693,304.73438,2011,-0.9741004551724206,0,0,1,0,0,7.503225e-05,1.2,0.39,-9.76,-69.2,-7.607798,-54.366364
47.54260867,7.58371693,304.73438,2011,-0.2884824328806098,0,0,1,0,0,4.7757974e-05,4.1,2.52,-9.34,-65.6,-11.003215,-83.73757
47.54260867,7.58371693,304.73438,2012,0.2386727660059501,0,0,1,0,0,1.5386211e-05,1.8,1.17,-10.04,-70.4,-9.911944,-74.47924
47.54260867,7.58371693,304.73438,2012,0.6994583270516471,0,0,1,0,0,8.9626206e-05,0.8,0.42,-15.68,-117.5,-8.919939,-66.267914
47.54260867,7.58371693,304.73438,2012,0.9562348265919056,0,0,1,0,0,8.00684e-05,1.2,1.27,-9.38,-68.4,-8.308348,-60.72058
47.54260867,7.58371693,304.73438,2012,0.9721181966290613,0,0,1,0,0,0.0,-0.4,0.47,-8.08,-56.7,-8.179358,-59.5506
47.54260867,7.58371693,304.73438,2012,0.7295575540864875,0,0,1,0,0,6.8484514e-05,0.1,-0.91,-6.23,-44.0,-8.099606,-57.77462
47.54260867,7.58371693,304.73438,2012,0.2802306751992159,0,0,1,0,0,0.0,-0.7,-2.53,-6.6,-46.2,-6.793218,-42.320168
47.54260867,7.58371693,304.73438,2012,-0.23030567023061196,0,0,1,0,0,0.0001529035,-0.1,-1.32,-5.32,-32.6,-6.939143,-44.668854
