Lat,Lon,Date,Alt,Precip (mm),Temp (°C),O18 (‰),H2 (‰),KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
-13.8,-171.78,1974-03-14 23:00:00+00:00,2.0,382.0,26.0,-3.65,-19.2,1,0,0,0,0
52.4672,13.4019,2001-06-14 22:00:00+00:00,48.0,65.4,15.2,-6.77,-50.45,0,0,1,0,0
64.13,-21.93,2018-02-14 23:00:00+00:00,14.0,159.1,1.1,-8.33,-57.1,0,0,1,0,0
53.23,6.55,2009-03-14 23:00:00+00:00,1.0,68.0,5.4,-7.25,-48.26,0,0,1,0,0
41.75,44.766667,2008-07-14 22:00:00+00:00,427.0,22.5,25.7,-4.34,-24.9,0,1,0,0,0
31.98,35.93,1967-01-14 23:00:00+00:00,850.0,106.0,6.9,-8.16,-37.7,0,1,0,0,0
51.35,12.43,1992-02-14 23:00:00+00:00,125.0,45.0,3.7,-5.8,-41.4,0,0,1,0,0
49.0422,12.1019,1983-11-14 23:00:00+00:00,365.0,43.6,1.4,-11.49,-82.6,0,0,0,1,0
48.24861111,16.35638889,2005-06-14 22:00:00+00:00,198.0,44.0,19.1,-7.11,-50.72,0,0,1,0,0
11.25,75.78,2001-10-14 22:00:00+00:00,20.0,204.0,26.9,-1.15,2.0,1,0,0,0,0
36.88,30.7,1988-10-14 22:00:00+00:00,49.0,121.0,18.4,-8.55,-59.6,0,0,1,0,0
50.9,14.8,2013-08-14 22:00:00+00:00,240.0,104.0,18.3,-3.58,-19.8,0,0,0,1,0
19.32622222,-99.17605556,2017-07-15 00:00:00+00:00,2880.0,301.3,14.257043457031273,-9.628,-66.9,0,0,1,0,0
28.46344137,-16.2553441,2001-03-14 23:00:00+00:00,35.0,26.5,19.6,-2.48,-3.3,0,1,0,0,0
-67.57,-68.13,2001-07-14 22:00:00+00:00,5.0,119.8,-11.9,-14.59,-113.3,0,0,0,0,1
22.31666667,114.1666667,2020-04-14 22:00:00+00:00,66.0,67.3,21.4,-1.84,-0.4,0,0,1,0,0
46.49143367,9.898180888,2002-08-14 22:00:00+00:00,1724.0,0.0,11.504113769531273,-11.27,-83.3,0,0,0,0,1
49.0392,8.365,2007-02-14 23:00:00+00:00,112.0,87.9,6.4,-8.85,-62.9,0,0,1,0,0
41.66056063,-1.004162565,2008-10-14 22:00:00+00:00,249.0,75.4,15.4,-5.18,-32.07,0,1,0,0,0
-7.92,-14.42,1996-02-14 23:00:00+00:00,15.0,12.3,27.3,-0.14,7.6,0,1,0,0,0
45.6,13.93333333,2002-11-25 23:00:00+00:00,497.0,1.3,10.667108154296898,-2.23,-9.14,0,0,1,0,0
41.64083945,-4.754446679,2010-05-14 22:00:00+00:00,735.0,35.7,13.8,-10.12,-74.93,0,1,0,0,0
26.27,50.62,1966-04-14 22:00:00+00:00,2.0,14.0,24.7,1.4,19.2,0,1,0,0,0
