Lat,Lon,Alt,Temp,Precip,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
22.31666667,114.1666667,66,21.4,67.3,2020,0.972118197,-1.84,-0.4,-2.1323428,-7.2546105
46.49143367,9.898180888,1724,11.50411377,0,2002,-0.680773409,-11.27,-83.3,-9.502724,-67.55862
49.0392,8.365,112,6.4,87.9,2007,0.699458327,-8.85,-62.9,-8.614198,-62.473484
41.66056063,-1.004162565,249,15.4,75.4,2008,-0.970063922,-5.18,-32.07,-6.5049133,-43.302643
-7.92,-14.42,15,27.3,12.3,1996,0.699458327,-0.14,7.6,-0.49669814,7.5775056
45.6,13.93333333,497,10.66710815,1.3,2002,-0.580800273,-2.23,-9.14,-6.458126,-44.2632
41.64083945,-4.754446679,735,13.8,35.7,2010,0.741222011,-10.12,-74.93,-5.9278393,-39.146694
26.27,50.62,2,24.7,14,1966,0.976010551,1.4,19.2,1.5071486,19.995794
-34.05,115.0249,70,14.29659424,7.6,2018,-0.345612313,-2.2,-4,-3.2713327,-12.650122
47.81666667,13.71777778,1618,14.78588257,69.9,2022,-0.763888613,-9.65,-63.24,-9.302352,-64.792946
15.6,32.55,382,31.6,80,1976,-0.693281227,-0.92,0.7,-0.7554188,2.5770698
6.166666667,102.2833333,7,27.36858521,4.624390276,2018,-0.213520915,-5.71,-30.7,-6.2391853,-40.21393
51.35,12.43,125,17.1083313,89.4,2004,0.729557554,-8.37,-58.1,-5.793662,-41.390583
30.72916667,78.44666667,1140,22.41488037,97.2,2005,0.741222011,-1.4,14.1,-2.4044564,-10.2458
-41.47,-72.93,13,13.6,84.6,2004,-0.271958158,-2.96,-18.4,-3.5315728,-19.480026
51.3,3.75,2,6.592980957,48.8,1994,-0.88406751,-6.67,-39.7,-7.345675,-48.827053
13.73,100.5,2,28.6,17,1985,-0.723644038,-4,-24,-4.649462,-29.272825
-0.331666667,31.76111111,1306,22.27504883,259.4,2019,0.741222011,-7.08,-42.7,-2.9858446,-11.50779
52.141,-106.6244,502,20.2,32,2006,-0.213520915,-12.39,-103.15,-12.425205,-94.091225
41.67805556,26.55916667,48,2.8,82.2,2009,0.238672766,-11.35,-79.83,-9.785655,-69.07748
50.12,-104.42,580,-22.07042542,0,2008,0.238672766,-23.82,-184.3,-24.13093,-191.27492
49.67,-93.72,420,10.79439697,3.141823132,2003,-0.680773409,-8.21,-57.5,-10.755566,-80.86649
46.60305556,13.67138889,2156,-5.688818359,3.6,1993,0.238672766,-10.78,-80.9,-12.160436,-87.112625
28.58,77.2,212,28.7,537,1967,-0.680773409,-7.62,-50,-7.839432,-56.39024
-41.47,-72.93,13,7.3,225,2013,0.296712819,-5.52,-34.4,-5.621418,-37.19089
-42.48,-65.05,100,14.39019165,8.6,2000,-0.970063922,-5.2,-49,-6.903463,-46.300274
-33.95833333,18.46111111,105,18.7,75,2003,-0.288482433,-1.45,-1,-2.5521054,-7.613322
49.82,-74.97,381.1,8.34710083,12.20107293,2004,-0.970063922,-12.47,-88.1,-10.427869,-77.01725
19.53,-96.91,1390,27.42867432,204.1,2016,0.280230675,-4.89,-32.8,-5.139329,-31.25325
-26.61361111,118.5372222,521,25.4,68.6,2012,0.956234827,-10.46,-71.2,-4.4885645,-23.902437
4.7,-74.13,2547,13.6,53,1989,0.741222011,-11.87,-83.2,-7.357839,-48.89999
-30.08,-51.18,7,24.4,91,1979,0.699458327,-3.57,-16.3,-5.384415,-33.163834
51.35,12.43,125,19.2,173.9,2004,-0.23030567,-6.39,-42.8,-6.672774,-47.85437
52.98,158.65,24,7,198,1996,-0.970063922,-14.7,-113.6,-11.981974,-89.36953
-20.67777778,139.4875,344,25.9,241,2011,0.951056516,-11.25,-79,-8.80392,-60.43018
49.7703,9.9578,268,3,7.5,1984,0.956234827,-13.81,-105.5,-9.835566,-72.6285
39.03,141.81,260,20.2,275,1999,-0.958717817,-9.615,-64.15,-6.8298492,-46.766205
40.80638889,-104.7547222,1641,4.7,8,1997,0.998879716,-12.7,-97,-15.4735775,-117.97468
53.97,-101.1,272,-20.4,17,1976,0.238672766,-23.4,-183,-25.53817,-197.08444
51.01666667,-114.0166667,1049,8.243157959,32.5,2018,0.729557554,-15.097,-114.8,-20.683256,-161.31796
42.58834633,-5.651107617,912,10.7,59.3,2010,-0.974100455,-6.85,-41.55,-8.365541,-57.058247
