Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-75.58333333,-20.56666667,30.0,1979-08-14 22:00:00+00:00,-195.9,-24.98,POINT (-20.56666667 -75.58333333),241.640625,0.0
-75.58333333,-20.56666667,30.0,1979-09-14 22:00:00+00:00,-201.5,-26.22,POINT (-20.56666667 -75.58333333),243.8854217529297,1.5298526705009863e-05
-75.58333333,-20.56666667,30.0,1979-10-14 22:00:00+00:00,-169.2,-20.61,POINT (-20.56666667 -75.58333333),259.73956298828125,5.265076651994605e-06
-75.58333333,-20.56666667,30.0,1979-11-14 23:00:00+00:00,-174.2,-23.38,POINT (-20.56666667 -75.58333333),254.5104217529297,1.013278847494803e-06
-75.58333333,-20.56666667,30.0,1979-12-14 23:00:00+00:00,-92.2,-12.19,POINT (-20.56666667 -75.58333333),261.71875,0.0
-75.58333333,-20.56666667,30.0,1980-01-14 23:00:00+00:00,-90.6,-13.35,POINT (-20.56666667 -75.58333333),263.76043701171875,3.4769374224197236e-07
-75.58333333,-20.56666667,30.0,1980-02-14 23:00:00+00:00,-118.6,-16.19,POINT (-20.56666667 -75.58333333),262.9375,2.0662942915805615e-05
-75.58333333,-20.56666667,30.0,1980-03-14 23:00:00+00:00,-85.0,-13.07,POINT (-20.56666667 -75.58333333),253.21875,0.0
-75.58333333,-20.56666667,30.0,1980-04-14 22:00:00+00:00,-131.8,-18.23,POINT (-20.56666667 -75.58333333),247.77084350585938,0.0
-75.58333333,-20.56666667,30.0,1980-05-14 22:00:00+00:00,-149.3,-19.91,POINT (-20.56666667 -75.58333333),257.97918701171875,0.0
-75.58333333,-20.56666667,30.0,1980-06-14 22:00:00+00:00,-188.5,-24.57,POINT (-20.56666667 -75.58333333),247.80209350585938,0.0001470645220251754
-75.58333333,-20.56666667,30.0,1980-07-14 22:00:00+00:00,-210.4,-28.97,POINT (-20.56666667 -75.58333333),238.546875,2.7040641725761816e-05
-75.58333333,-20.56666667,30.0,1980-08-14 22:00:00+00:00,-181.6,-25.08,POINT (-20.56666667 -75.58333333),243.5208282470703,0.0
-75.58333333,-20.56666667,30.0,1980-09-14 22:00:00+00:00,-211.8,-28.33,POINT (-20.56666667 -75.58333333),248.15103149414062,0.0
-75.58333333,-20.56666667,30.0,1980-10-14 22:00:00+00:00,-174.1,-23.64,POINT (-20.56666667 -75.58333333),248.125,5.580981815000996e-05
-75.58333333,-20.56666667,30.0,1980-11-14 23:00:00+00:00,-134.1,-18.41,POINT (-20.56666667 -75.58333333),265.19793701171875,0.0001819332392187789
-75.58333333,-20.56666667,30.0,1980-12-14 23:00:00+00:00,-96.6,-13.57,POINT (-20.56666667 -75.58333333),265.14581298828125,1.2119611483285553e-06
-75.58333333,-20.56666667,30.0,1982-02-14 23:00:00+00:00,-97.1,-13.28,POINT (-20.56666667 -75.58333333),263.11456298828125,0.00024065375328063965
-75.58333333,-20.56666667,30.0,1982-03-14 23:00:00+00:00,-147.4,-19.74,POINT (-20.56666667 -75.58333333),251.16665649414062,9.5367431640625e-07
-75.58333333,-20.56666667,30.0,1982-04-14 22:00:00+00:00,-148.2,-19.68,POINT (-20.56666667 -75.58333333),265.6145935058594,2.3027261704555713e-05
