Date	Amount(mm)	d18O	d2H
2008-12-29	2.5	-14.3	-101.1
2009-01-07	3.3	-24.3	-181
2009-01-09	3	-26.3	-203.1
2009-01-12	1.5	-13.4	-96.2
2009-01-14	10	-16.8	-124.1
2009-01-21	7	-16.2	-116.7
2009-01-26	1.7	-13.9	-94.5
2009-02-05	6.7	-22.7	-171.2
2009-02-06	8.6	-20.4	-147
2009-02-09	18.5	-22.3	-167.1
2009-02-23	4.7	-16.1	-114.8
2009-02-24	3.3	-16.5	-119.9
2009-03-02	3.3	-16.1	-116.5
2009-03-03	5.9	-15.3	-119.4
2009-03-10	1.8	-19.3	-146.5
2009-03-23	1.5	-9	-65.7
2009-03-30	2.1	-21.4	-166.9
2009-04-01	1.3	-14.1	-101.6
2009-04-03	5.9	-13.1	-98.8
2009-04-06	7.4	-13.7	-100.3
2009-04-09	1.2	-11.9	-79.4
2009-04-11	6	-14.6	-104.8
2009-04-20	1.1	-8.8	-57.5
2009-04-28	3.1	-6.1	-40.8
2009-05-06	6.1	-15	-114.6
2009-05-08	6.6	-14.5	-116.4
2009-05-11	4	-10.2	-80.3
2009-05-22	8.3	-9.1	-68.7
2009-05-25	3.1	-9	-69.6
2009-05-27	6.2	-3.7	-26.2
2009-06-04	7.5	-11.5	-82.9
2009-06-08	2.1	-12	-90.4
2009-06-11	3	-10.3	-78.6
2009-06-15	6.5	-7.4	-49.1
2009-06-16	8.5	-12.3	-89.5
2009-06-23	0.9	-8	-57.9
2009-07-06	3.2	-12.2	-89
2009-07-07	46.1	-23	-169.6
2009-07-08	13.2	-19.8	-143.6
2009-07-10	13	-11.7	-83.2
2009-07-13	3.6	-13	-95.4
2009-07-14	3	-9.2	-62.8
2009-07-17	16.6	-9.6	-72.5
2009-07-22	23	-8.8	-57.5
2009-07-27	63.6	-9.3	-65.2
2009-07-28	8.5	-15.2	-112.9
2009-08-03	7.8	-7.7	-52
2009-08-06	9.2	-7.8	-54.3
2009-08-12	8.4	-8.8	-58.1
2009-08-17	14.6	-15.2	-111.5
2009-08-24	1.3	-8.6	-57.2
2009-08-31	11.6	-7.8	-51.2
2009-09-02	1.2	-6.5	-43.4
2009-09-04	12.6	-8.8	-58.8
2009-09-07	9.2	-10.6	-73.8
2009-09-08	5.6	-9.4	-66.4
2009-09-10	4.5	-7.6	-51.2
2009-09-21	3.6	-9	-69.2
2009-09-23	4.3	-8.2	-56.9
2009-09-28	0.5	-9.2	-68.4
2009-09-30	2.4	-10.9	-70.8
2009-10-05	11.5	-18.1	-133.1
2009-10-07	18	-17.8	-132.6
2009-10-16	13.1	-15.8	-119.6
2009-10-20	2.4	-18	-129.1
2009-10-22	0.5	-11.2	-75.8
2009-10-26	4.8	-11.6	-78.1
2009-11-04	1.3	-10.2	-67
2009-11-09	6.3	-22.7	-169
2009-11-11	0.7	-16.4	-115
2009-11-16	10	-14.4	-102.8
2009-11-17	5.7	-15.7	-113.1
2009-11-18	3.2	-14.5	-104.1
2009-11-20	4.5	-17.7	-133.4
2009-11-23	21.9	-16.5	-123.9
2009-11-24	1.8	-11.8	-83
2009-11-25	3.7	-10.5	-71.8
2009-11-26	13.1	-15.7	-116.4
2009-11-30	1.6	-12.8	-84.2
2009-12-01	17.1	-21.1	-158.8
2009-12-07	7.6	-13.4	-96.8
2009-12-15	2.8	-17.4	-113.9
2009-12-16	6.7	-19.1	-127.1
2009-12-21	3.6	-19.9	-132.4
2009-12-22	3	-31.2	-233.7
2009-12-23	2.7	-29.2	-214.5
2009-12-25	6.1	-16.8	-120.7
2009-12-27	2.1	-28	-208.5
2009-12-28	4.2	-24.2	-185.9
2009-12-29	5.1	-15.1	-114
2010-01-01	3	-21.1	-151.1
2010-01-04	2.8	-19.7	-137.3
2010-01-18	2.5	-13.9	-93.9
2010-01-19	3	-14.2	-94.6
2010-01-25	3	-16.2	-113.4
2010-01-28	19	-19.1	-143.3
2010-01-29	1.3	-28.7	-211.6
2010-02-01	3.1	-28.1	-211.8
2010-02-03	5.8	-29.4	-223.6
2010-02-08	4.2	-19.6	-141.2
2010-02-11	2.5	-20	-146.8
2010-02-22	2.6	-30	-223.9
2010-03-01	21.2	-19.6	-144.9
2010-03-02	3.2	-24.3	-184.8
2010-03-03	4.7	-23.1	-171
2010-03-10	2.8	-11.4	-79.4
2010-03-16	4.7	-17.6	-118.8
2010-03-19	6.5	-18.5	-138.4
2010-03-22	4.8	-18.5	-142.1
2010-03-26	5.3	-14.3	-105.8
2010-04-09	4.3	-15.6	-114.9
2010-04-19	4.4	-15.5	-117
2010-04-30	3.3	-14.1	-107.6
2010-05-03	8.8	-12.3	-92.5
2010-05-14	12.3	-7.9	-55.4
