Date,Amount(mm),d18O,d2H,Location,Type,Lat,Lon
2006-01-31,3.0,-19.1,-146.7,Krycklan,Precipitation,64.233333,19.766667
2006-02-01,1.0,-13.2,-99.1,Krycklan,Precipitation,64.233333,19.766667
2006-02-07,7.7,-20.5,-149.6,Krycklan,Precipitation,64.233333,19.766667
2006-02-08,1.7,-15.0,-107.6,Krycklan,Precipitation,64.233333,19.766667
2006-02-09,2.2,-17.8,-125.5,Krycklan,Precipitation,64.233333,19.766667
2006-02-17,1.8,-13.4,-89.3,Krycklan,Precipitation,64.233333,19.766667
2006-02-20,1.9,-14.2,-96.7,Krycklan,Precipitation,64.233333,19.766667
2006-03-02,1.6,-25.0,-184.2,Krycklan,Precipitation,64.233333,19.766667
2006-03-06,1.5,-26.5,-200.7,Krycklan,Precipitation,64.233333,19.766667
2006-03-28,6.8,-19.5,-146.7,Krycklan,Precipitation,64.233333,19.766667
2006-03-29,7.3,-19.8,-150.4,Krycklan,Precipitation,64.233333,19.766667
2006-03-31,4.1,-25.5,-197.8,Krycklan,Precipitation,64.233333,19.766667
2006-04-04,0.7,-21.1,-171.1,Krycklan,Precipitation,64.233333,19.766667
2006-04-06,1.9,-21.0,-161.0,Krycklan,Precipitation,64.233333,19.766667
2006-04-07,3.9,-18.1,-138.3,Krycklan,Precipitation,64.233333,19.766667
2006-04-10,8.8,-12.0,-82.6,Krycklan,Precipitation,64.233333,19.766667
2006-04-11,7.6,-17.9,-130.9,Krycklan,Precipitation,64.233333,19.766667
2006-04-14,5.6,-9.5,-65.9,Krycklan,Precipitation,64.233333,19.766667
2006-04-18,10.0,-12.3,-87.8,Krycklan,Precipitation,64.233333,19.766667
2006-05-12,2.5,-6.4,-47.9,Krycklan,Precipitation,64.233333,19.766667
2006-05-15,3.2,-15.7,-113.2,Krycklan,Precipitation,64.233333,19.766667
2006-05-19,3.2,-12.6,-89.8,Krycklan,Precipitation,64.233333,19.766667
2006-05-23,2.7,-9.8,-74.7,Krycklan,Precipitation,64.233333,19.766667
2006-05-24,7.6,-11.0,-78.7,Krycklan,Precipitation,64.233333,19.766667
2006-05-26,6.7,-17.5,-135.5,Krycklan,Precipitation,64.233333,19.766667
2006-05-29,10.5,-14.2,-105.6,Krycklan,Precipitation,64.233333,19.766667
2006-05-30,10.6,-11.8,-82.0,Krycklan,Precipitation,64.233333,19.766667
2006-05-31,1.1,-11.3,-86.8,Krycklan,Precipitation,64.233333,19.766667
2006-06-05,5.4,-14.4,-115.8,Krycklan,Precipitation,64.233333,19.766667
2006-06-20,4.8,-5.8,-36.5,Krycklan,Precipitation,64.233333,19.766667
2006-06-21,7.2,-7.1,-44.2,Krycklan,Precipitation,64.233333,19.766667
2006-06-26,3.0,-8.6,-58.0,Krycklan,Precipitation,64.233333,19.766667
2006-07-07,8.2,-7.9,-49.9,Krycklan,Precipitation,64.233333,19.766667
2006-07-11,7.4,-8.3,-58.5,Krycklan,Precipitation,64.233333,19.766667
2006-07-13,2.1,-7.1,-51.8,Krycklan,Precipitation,64.233333,19.766667
2006-07-18,0.9,-8.0,-60.1,Krycklan,Precipitation,64.233333,19.766667
2006-08-16,9.0,-10.2,-68.1,Krycklan,Precipitation,64.233333,19.766667
2006-08-17,23.6,-12.6,-89.4,Krycklan,Precipitation,64.233333,19.766667
2006-08-18,1.2,-11.4,-81.9,Krycklan,Precipitation,64.233333,19.766667
2006-08-28,5.4,-10.0,-72.0,Krycklan,Precipitation,64.233333,19.766667
2006-08-29,9.1,-14.3,-107.7,Krycklan,Precipitation,64.233333,19.766667
2006-09-04,26.0,-8.8,-58.4,Krycklan,Precipitation,64.233333,19.766667
2006-09-05,15.3,-11.5,-82.5,Krycklan,Precipitation,64.233333,19.766667
2006-09-07,2.2,-10.9,-80.7,Krycklan,Precipitation,64.233333,19.766667
2006-09-08,18.4,-14.5,-104.9,Krycklan,Precipitation,64.233333,19.766667
2006-09-21,1.7,-10.6,-76.3,Krycklan,Precipitation,64.233333,19.766667
2006-09-26,9.4,-9.8,-59.8,Krycklan,Precipitation,64.233333,19.766667
2006-09-27,1.5,-9.0,-59.0,Krycklan,Precipitation,64.233333,19.766667
2006-09-28,18.4,-10.4,-69.2,Krycklan,Precipitation,64.233333,19.766667
2006-10-01,4.4,-16.3,-114.4,Krycklan,Precipitation,64.233333,19.766667
2006-10-02,17.8,-12.5,-87.1,Krycklan,Precipitation,64.233333,19.766667
2006-10-03,7.2,-10.5,-72.7,Krycklan,Precipitation,64.233333,19.766667
2006-10-05,18.8,-11.7,-82.7,Krycklan,Precipitation,64.233333,19.766667
2006-10-08,15.5,-10.1,-69.1,Krycklan,Precipitation,64.233333,19.766667
2006-10-09,1.9,-9.3,-65.0,Krycklan,Precipitation,64.233333,19.766667
2006-10-11,0.5,-12.9,-93.7,Krycklan,Precipitation,64.233333,19.766667
2006-10-16,4.3,-9.7,-69.6,Krycklan,Precipitation,64.233333,19.766667
2006-10-20,5.2,-25.0,-188.4,Krycklan,Precipitation,64.233333,19.766667
2006-10-22,3.6,-15.7,-115.6,Krycklan,Precipitation,64.233333,19.766667
2006-10-23,5.5,-20.2,-147.7,Krycklan,Precipitation,64.233333,19.766667
2006-10-24,9.0,-13.1,-87.5,Krycklan,Precipitation,64.233333,19.766667
2006-10-27,14.1,-23.0,-175.8,Krycklan,Precipitation,64.233333,19.766667
2006-10-29,10.0,-25.0,-189.6,Krycklan,Precipitation,64.233333,19.766667
2006-11-06,19.9,-16.1,-114.9,Krycklan,Precipitation,64.233333,19.766667
